center,pde,seed,historical_status,status,failure_reason,e_GN,correction,e_SO,classification,scalar_improvement_product,identity_error,r_D,Z_norm,condition_A,lambda_min,q,min_direction_energy_fraction,weak10percent_energy_fraction,mu_effective,SO_win,source_sha256,alpha,gamma,error_GN,error_SO,strict_SO_win,strict_GN_win,logR_floor,logR,relative_GN,relative_SO,reference_resolved,source,execution_disposition,historical_binding_valid
allen_cahn_75,allen_cahn,75,PASS,PASS,,1.2110470237688986,-1.2028945690654496,0.008152454703449052,appropriate,-1.4665684312618155,7.196411181800064e-13,0.008131321315524092,2.2186417904463225,100468250.2254947,0.0063918368976445174,0.008152454707009406,1.3461973226163837e-12,1.871346126902311e-12,6041.45497462978,True,b005c48821a818eca397a9e4f6c878d5d36bf297c95edbd04e9d53f4e9e93151,,,,,,,,,,,,,,
allen_cahn_76,allen_cahn,76,PASS,PASS,,0.9787319746897367,-0.9549659237669346,0.02376605092280215,appropriate,-0.9573514531036063,5.244807877657866e-13,0.003148053922833327,3.8297726666934437,101185817.10603143,0.007091428655350383,0.023766050918520583,0.00016982779832621823,0.0017623224921999808,1531.594489004584,True,bc8cf9109132040319e2c7278cb8823ab23e42fd669bbad93afc7b0d7fe0161e,,,,,,,,,,,,,,
allen_cahn_77,allen_cahn,77,PASS,PASS,,1.8060748557256971,-1.7629093292153328,0.043165526510364316,appropriate,-3.2600431218056807,4.1258575932670994e-13,0.004174328568911408,4.847831901859689,100417228.24683432,0.0014987841772789183,0.04316552651227255,7.579225964405126e-05,0.04349021725032345,219.32794040674935,True,3d707ba0ee110688bbe955d5044b6f1938261f589d2b58b75fe181ebc2807c83,,,,,,,,,,,,,,
allen_cahn_78,allen_cahn,78,PASS,PASS,,1.3505670594506682,-1.3435396370231985,0.007027422427469787,appropriate,-1.8239819974072506,2.410462100888029e-13,0.007877665150423357,4.315300063265795,100340637.47579469,0.0013102933452721133,0.007027422428625536,0.00034001836943746194,0.09380737403415179,1147.4953082287686,True,637368ec4fa0bb0e5025e71f9e130c1abab65af1fcb497e2d631092e01ec0768,,,,,,,,,,,,,,
allen_cahn_79,allen_cahn,79,PASS,PASS,,1.6183123352943483,-1.608345612417736,0.009966722876612266,appropriate,-2.618835479000948,4.323722853913046e-12,0.007312157243571913,3.5249209794752163,100475515.17783645,0.00911287507718898,0.009966722891604305,6.857980040029877e-08,0.0006596784556118189,15395.328768366679,True,f245f5791150ab94e672b3751b8f08c2161cec27ddbcbe5c50de47c526834645,,,,,,,,,,,,,,
allen_cahn_80,allen_cahn,80,PASS,PASS,,1.3894788068779178,-1.362807466418957,0.026671340458960913,appropriate,-1.9299399943610043,2.2402272507254326e-12,0.005805261499307433,2.461328675661935,100451200.77603209,0.020701606067768656,0.026671340467459576,0.0005258444875051034,0.0021064863665503403,6415.374370915679,True,df584bfaf877afebed06f5cbef9fc816df1b424e4cb4af8d36a483cdc8659966,,,,,,,,,,,,,,
allen_cahn_81,allen_cahn,81,CHECKPOINT_INVALID,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allen_cahn_82,allen_cahn,82,PASS,PASS,,0.8663668124583381,-0.8149900424943155,0.05137676996402263,appropriate,-0.7479518812372852,1.5821017400854862e-12,0.0057856434377638695,3.071260588599375,101387458.17439435,0.002722273344214302,0.051376769972835926,7.097693521179874e-05,0.026074089478122068,515.8411835663231,True,ed9176c5b69126855a0a097ff0ccb778761d606e671f88dad5ed4d6545c5c1e5,,,,,,,,,,,,,,
allen_cahn_83,allen_cahn,83,PASS,PASS,,1.0972248140076175,-1.032139667017944,0.0650851469896736,appropriate,-1.1996662161153835,3.3458677550646985e-12,0.006008100495030648,3.629581954757919,101279053.52540146,0.005843342333405312,0.06508514697284819,0.00024411866371498364,0.00030641840662664195,1326.419732485459,True,7db6776bbcfe203f773d412edf83a938350335e1208850d199a0897e1f82598c,,,,,,,,,,,,,,
allen_cahn_84,allen_cahn,84,PASS,PASS,,1.464925512120928,-1.1803384384722477,0.2845870736486802,appropriate,-2.0650169535748435,5.165830030521718e-12,0.004954931297449654,4.936893789043519,100559397.07033624,0.0014511725826970928,0.28458707362151414,0.21827866432160611,0.2708481277700868,62.03597146665412,True,b9c36ff5592c8bb1eb194728081363b05ba980b4020556db4b2041b03b85990c,,,,,,,,,,,,,,
burgers_55,burgers,55,PASS,PASS,,2.389575552766246,-2.0847503908745466,0.3048251618916993,appropriate,-5.617152943055809,9.406537940051051e-12,0.007009277959003667,11.824632499948839,100830054.60219337,0.06465202373163316,0.30482516217636446,3.926406653443067e-05,0.0003786621241961286,18341.163169349806,True,0a9675fc92a1582e708edb6cf531f45cb49db7fb27b7a4be6e08e9621b92565f,,,,,,,,,,,,,,
burgers_56,burgers,56,PASS,PASS,,-4.707863081769574,6.346430404547618,1.6385673227780444,appropriate,-19.479071925412903,5.468305790269599e-12,0.003292115240897624,11.454687932627024,100107427.2184264,0.028720046595259823,1.6385673224990862,2.829195247835975e-07,3.079561456156158e-07,1982.433001078056,True,910873f8b314ebfdf7e7db39d6b7679e6c727c20114b80440423621155de33bc,,,,,,,,,,,,,,
burgers_57,burgers,57,CHECKPOINT_INVALID,CHECKPOINT_INVALID,frozen center policy failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
